Title,Year,Rank,Directors,Countries
What Price Glory?,1926,7,"Walsh, Raoul",USA
The Winning of Barbara Worth,1926,8,"King, Henry",USA
Moana,1926,9,"Flaherty, Robert J.",USA
La Boheme,1926,10,"Vidor, King",USA
Battleship Potemkin,1925,1,"Eisenstein, Sergei M. / Aleksandrov, Grigori",Soviet Union
The Gold Rush,1925,2,"Chaplin, Charles",USA
Strike,1925,3,"Eisenstein, Sergei M.",Soviet Union
The Big Parade,1925,4,"Vidor, King",USA
The Phantom of the Opera,1925,5,"Julian, Rupert / Laemmle, Ernst / Sedgwick, Edward",USA
Seven Chances,1925,6,"Keaton, Buster",USA
Ben-Hur,1925,7,"Niblo, Fred / Brabin, Charles / Cabanne, Christy / Cohn, J.J. / Ingram, Rex",USA
The Freshman,1925,8,"Newmeyer, Fred C. / Taylor, Sam",USA
The Lost World,1925,9,"Hoyt, Harry O. / Dowling, William",USA
The Merry Widow,1925,10,"von Stroheim, Erich",USA
"Sherlock, Jr.",1924,1,"Keaton, Buster",USA
Greed,1924,2,"von Stroheim, Erich",USA
The Thief of Bagdad,1924,3,"Walsh, Raoul",USA
The Last Laugh,1924,4,"Murnau, F.W.",Germany
The Navigator,1924,5,"Keaton, Buster / Crisp, Donald",USA
Die Nibelungen: Kriemhilds Rache,1924,6,"Lang, Fritz",Germany
Die Nibelungen: Siegfried,1924,7,"Lang, Fritz",Germany
The Iron Horse,1924,8,"Ford, John",USA
He Who Gets Slapped,1924,9,"Sjöström, Victor",USA
Peter Pan,1924,10,"Brenon, Herbert",USA
Our Hospitality,1923,1,"Keaton, Buster / Blystone, John G.",USA
Safety Last!,1923,2,"Newmeyer, Fred C. / Taylor, Sam",USA
La Roue,1923,3,"Gance, Abel",France
The Covered Wagon,1923,4,"Cruze, James",USA
The Hunchback of Notre Dame,1923,5,"Worsley, Wallace",USA
The Ten Commandments,1923,6,"DeMille, Cecil B.",USA
Souls for Sale,1923,7,"Hughes, Rupert",USA
A Woman of Paris,1923,8,"Chaplin, Charles",USA
Three Ages,1923,9,"Keaton, Buster / Cline, Edward F.",USA
Why Worry?,1923,10,"Newmeyer, Fred C. / Taylor, Sam",USA
Nosferatu,1922,1,"Murnau, F.W.",Germany
Dr. Mabuse - The Gambler,1922,2,"Lang, Fritz",Germany
Nanook of the North,1922,3,"Flaherty, Robert J.",USA
Foolish Wives,1922,4,"von Stroheim, Erich",USA
Häxan,1922,5,"Christensen, Benjamin",Denmark / Sweden
Robin Hood,1922,6,"Dwan, Allan",USA
Cops,1922,7,"Keaton, Buster / Cline, Edward F.",USA
When Knighthood Was in Flower,1922,8,"Vignola, Robert G.",USA
Sky High,1922,9,"Reynolds, Lynn",USA
Grandma's Boy,1922,10,"Newmeyer, Fred C.",USA
The Kid,1921,1,"Chaplin, Charles",USA
Orphans of the Storm,1921,2,"Griffith, D.W.",USA
Tol'able David,1921,3,"King, Henry",USA
The Four Horsemen of the Apocalypse,1921,4,"Ingram, Rex",USA
Destiny,1921,5,"Lang, Fritz",Germany
Körkarlen,1921,6,"Sjöström, Victor",Sweden
Miss Lulu Bett,1921,7,"de Mille, William C.",USA
The Sheik,1921,8,"Melford, George",USA
The Wildcat,1921,9,"Lubitsch, Ernst",Germany
The Boat,1921,10,"Keaton, Buster / Cline, Edward F.",USA
The Goat,1921,10,"Keaton, Buster / St. Clair, Malcolm",USA
Hard Luck,1921,10,"Keaton, Buster / Cline, Edward F.",USA
The Haunted House,1921,10,"Keaton, Buster / Cline, Edward F.",USA
The High Sign,1921,10,"Keaton, Buster / Cline, Edward F.",USA
The Playhouse,1921,10,"Keaton, Buster / Cline, Edward F.",USA
The Cabinet of Dr. Caligari,1920,1,"Wiene, Robert",Germany
Way Down East,1920,2,"Griffith, D.W.",USA
The Golem,1920,3,"Wegener, Paul / Boese, Carl",Germany
One Week,1920,4,"Keaton, Buster / Cline, Edward F.",USA
The Mark of Zorro,1920,5,"Niblo, Fred",USA
Within Our Gates,1920,6,"Micheaux, Oscar",USA
Last of the Mohicans,1920,7,"Brown, Clarence / Tourneur, Maurice",USA
Humoresque,1920,8,"Borzage, Frank",USA
The Parson's Widow,1920,9,"Dreyer, Carl Theodor",Sweden / Denmark
The Round Up,1920,10,"Melford, George",USA
Broken Blossoms,1919,1,"Griffith, D.W.",USA
Male and Female,1919,2,"DeMille, Cecil B.",USA
J'accuse!,1919,3,"Gance, Abel",France
South: Ernest Shackleton and the Endurance Expedition,1919,4,"Hurley, Frank",Australia / UK
Blind Husbands,1919,5,"von Stroheim, Erich",USA
The Dragon Painter,1919,6,"Worthington, William",USA
When the Clouds Roll by,1919,7,"Fleming, Victor / Reed, Theodore",USA
True Heart Susie,1919,8,"Griffith, D.W.",USA
The Doll,1919,9,"Lubitsch, Ernst",Germany
Back Stage,1919,10,"Arbuckle, Roscoe 'Fatty'",USA
Daddy-Long-Legs,1919,10,"Neilan, Marshall",USA
Don't Change Your Husband,1919,10,"DeMille, Cecil B.",USA
"Elmo, the Mighty",1919,10,"MacRae, Henry",USA
The Grim Game,1919,10,"Willat, Irvin",USA
"His Majesty, the American",1919,10,"Henabery, Joseph",USA
Kathleen Mavourneen,1919,10,"Brabin, Charles",USA
Madame DuBarry,1919,10,"Lubitsch, Ernst",Germany
The Miracle Man,1919,10,"Tucker, George Loane",USA
The New Moon,1919,10,"Withey, Chester",USA
Præsidenten,1919,10,"Dreyer, Carl Theodor",Denmark
The Spiders,1919,10,"Lang, Fritz",Germany
Square Deal Sanderson,1919,10,"Hart, William S. / Hillyer, Lambert",USA
Sunnyside,1919,10,"Chaplin, Charles",USA
The Unwritten Code,1919,10,"Durning, Bernard J.",USA
The Wilderness Trail,1919,10,"LeSaint, Edward",USA
The Outlaw and His Wife,1918,1,"Sjöström, Victor",Sweden
Stella Maris,1918,2,"Neilan, Marshall",USA
The Blue Bird,1918,3,"Tourneur, Maurice",USA
The Sinking of the Lusitania,1918,3,"McCay, Winsor",USA
Hearts of the World,1918,4,"Griffith, D.W.",USA
A Black Sherlock Holmes,1918,5,"Phillips, R.W.",USA
Blue Blazes Rawden,1918,5,"Hart, William S.",USA
The Bond,1918,5,"Chaplin, Charles",USA
Der Gelbe Schein,1918,5,"Illés, Eugen / Janson, Victor / Stein, Paul L.",Germany
A Dog's Life,1918,5,"Chaplin, Charles",USA
Laughing Bill Hyde,1918,5,"Henley, Hobart",USA
Mickey,1918,5,"Jones, F. Richard / Young, James",USA
My Four Years in Germany,1918,5,"Nigh, William",USA
Old Wives for New,1918,5,"DeMille, Cecil B.",USA
The Prodigal Wife,1918,5,"Reicher, Frank",USA
Salome,1918,5,"Edwards, J. Gordon",USA
Selfish Yates,1918,5,"Hart, William S.",USA
Shoulder Arms,1918,5,"Chaplin, Charles",USA
Tarzan of the Apes,1918,5,"Sidney, Scott",USA
The Whispering Chorus,1918,5,"DeMille, Cecil B.",USA
Tih Minh,1918,6,"Feuillade, Louis",France
The Cook,1918,7,"Arbuckle, Roscoe 'Fatty'",USA
Denny from Ireland,1918,7,"Clifford, William H.",USA
Little Orphant Annie,1918,7,"Campbell, Colin",USA
Mr. Fix-It,1918,7,"Dwan, Allan",USA
100% American,1918,7,unknown,USA
Shifting Sands,1918,7,"Parker, Albert",USA
A Society Sensation,1918,7,"Powell, Paul",USA
Woman,1918,7,"Tourneur, Maurice",USA
The Cure,1917,1,"Chaplin, Charles",USA
Easy Street,1917,1,"Chaplin, Charles",USA
The Adventurer,1917,2,"Chaplin, Charles",USA
The Immigrant,1917,3,"Chaplin, Charles",USA
Wild and Wooly,1917,4,"Emerson, John",USA
The Poor Little Rich Girl,1917,5,"Tourneur, Maurice",USA
Thomas Graal's Best Film,1917,6,"Stiller, Mauritz",Sweden
Girl Without a Soul,1917,7,"Collins, John H.",USA
A Man There Was,1917,8,"Sjöström, Victor",Sweden
Birth Control,1917,9,"Sanger, Margaret",USA
The Butcher Boy,1917,9,"Arbuckle, Roscoe 'Fatty'",USA
El Apóstol,1917,9,"Cristiani, Quirino",Argentina
The Gulf Between,1917,9,"Physioc, Wray Bartlett",USA
The Gun Fighter,1917,9,"Hart, William S.",USA
The Heart of Texas Ryan,1917,9,"Martin, E.A.",USA
Masks and Faces,1917,9,"Paul, Fred",UK
Max in a Taxi,1917,9,"Linder, Max",USA
The Narrow Trail,1917,9,"Hart, William S. / Hillyer, Lambert",USA
Over the Fence,1917,9,"Lloyd, Harold / MacDonald, J. Farrell",USA
Polly of the Circus,1917,9,"Hollywood, Edwin L. / Horan, Charles",USA
The Pride of the Clan,1917,9,"Tourneur, Maurice",USA
The Silent Man,1917,9,"Hart, William S.",USA
Straight Shooting,1917,9,"Ford, John",USA
Taii no musume,1917,9,"Inoue, Masao",Japan
A Tale of Two Cities,1917,9,"Lloyd, Frank",USA
Thais,1917,9,"Crane, Frank Hall / Ballin, Hugo",USA
Unmasked,1917,10,"Cunard, Grace / Ford, Francis",USA
Intolerance,1916,1,"Griffith, D.W.",USA
Hell's Hinges,1916,2,"Swickard, Charles / Hart, William S. / Smith, Clifford",USA
One A.M.,1916,3,"Chaplin, Charles",USA
Behind the Screen,1916,4,"Chaplin, Charles",USA
The Pawnshop,1916,4,"Chaplin, Charles",USA
Civilization,1916,5,"Ince, Thomas H. / Barker, Reginald / West, Raymond B. / Edwards, Walter / Hartford, David / Hunt, Jay / Read, J. Parker Jr.",USA
Where Are My Children?,1916,5,"Smalley, Phillips / Weber, Lois",USA
Judex,1916,6,"Feuillade, Louis",France
The Count,1916,7,"Chaplin, Charles",USA
The Fireman,1916,7,"Chaplin, Charles",USA
The Floorwalker,1916,7,"Chaplin, Charles",USA
The Rink,1916,7,"Chaplin, Charles",USA
The Vagabond,1916,7,"Chaplin, Charles",USA
Shoes,1916,8,"Weber, Lois",USA
Arsene Lupin,1916,9,"Tucker, George Loane",UK
The Cossack Whip,1916,9,"Collins, John H.",USA
A Daughter of the Gods,1916,9,"Brenon, Herbert",USA
His Picture in the Papers,1916,9,"Emerson, John",USA
Hoodoo Ann,1916,9,"Ingraham, Lloyd",USA
Joan the Woman,1916,9,"DeMille, Cecil B.",USA
Lass of the Lumberlands,1916,9,"Hurst, Paul / McGowan, J.P.",USA
Manhattan Madness,1916,9,"Dwan, Allan",USA
Nugget Jim's Pardner,1916,9,"Borzage, Frank",USA
Peggy,1916,9,"Giblyn, Charles / Ince, Thomas H.",USA
Police,1916,9,"Chaplin, Charles",USA
The Purple Mask,1916,9,"Cunard, Grace / Ford, Francis",USA
The Realization of a Negro's Ambition,1916,9,"Gant, Harry A.",USA
The Return of Draw Egan,1916,9,"Hart, William S.",USA
She,1916,9,"Barker, William G.B. / Lucoque, Horace Lisle",UK
To Have and to Hold,1916,9,"Melford, George",USA
"Ultus, the Man from the Dead",1916,9,"Pearson, George",UK
The Valley of Decision,1916,9,"Berger, Rae",USA
The Curse of Quon Gwon,1916,10,"Wong, Marion",USA
The Birth of a Nation,1915,1,"Griffith, D.W.",USA
Les Vampires,1915,2,"Feuillade, Louis",France
The Cheat,1915,3,"DeMille, Cecil B.",USA
Regeneration,1915,4,"Walsh, Raoul",USA
A Fool There Was,1915,5,"Powell, Frank",USA
The Italian,1915,6,"Barker, Reginald",USA
The Battle Cry of Peace,1915,7,"Blackton, J. Stuart / North, Wilfrid",USA
Charlie the Champion,1915,7,"Chaplin, Charles",USA
Jane Shore,1915,7,"Haldane, Bert / Thornton, F. Martin",UK
Just Nuts,1915,7,"Roach, Hal",USA
The Lamb,1915,7,"Cabanne, Christy",USA
A Night in the Show,1915,7,"Chaplin, Charles",USA
Pool Sharks,1915,7,"Middleton, Edwin",USA
The Repudiated Daughter,1915,7,unknown,Poland
The Scourge of the Desert,1915,7,"Hart, William S.",USA
Sweet Lavender,1915,7,"Hepworth, Cecil M.",UK
The Tramp,1915,7,"Chaplin, Charles",USA
A Woman,1915,7,"Chaplin, Charles",USA
Fatty's Tintype Tangle,1915,8,"Arbuckle, Roscoe 'Fatty'",USA
Burlesque on Carmen,1915,9,"Chaplin, Charles",USA
After Death,1915,10,"Bauer, Yevgeni",Russia
The Doll-House Mystery,1915,10,"Franklin, Chester M. / Franklin, Sidney",USA
A Mother's Atonement,1915,10,"De Grasse, Joseph",USA
The Raven,1915,10,"Brabin, Charles",USA
The Stolen Voice,1915,10,"Crane, Frank Hall",USA
Cabiria,1914,1,"Pastrone, Giovanni",Italy
Tillie's Punctured Romance,1914,2,"Sennett, Mack",USA
Gertie the Dinosaur,1914,3,"McCay, Winsor",USA
The Bargain,1914,4,"Barker, Reginald",USA
The Exploits of Elaine,1914,4,"Gasnier, Louis J. / Seitz, George B. / Wharton, Leopold",USA
The Perils of Pauline,1914,4,"Gasnier, Louis J. / MacKenzie, Donald",USA
Tess of the Storm Country,1914,4,"Porter, Edwin S.",USA
A Child of the Big City,1914,5,"Bauer, Yevgeni",Russia
Kid Auto Races at Venice,1914,6,"Lehrman, Henry",USA
Making a Living,1914,6,"Lehrman, Henry",USA
The Wishing Ring: An Idyll of Old England,1914,7,"Tourneur, Maurice",USA
Dough and Dynamite,1914,8,"Chaplin, Charles",USA
In the Sage Brush Country,1914,8,"Hart, William S.",USA
Judith of Bethulia,1914,8,"Griffith, D.W.",USA
Lieutenant Pimple and the Stolen Invention,1914,8,unknown,UK
The Life of General Villa,1914,8,"Cabanne, Christy",USA
Lucille Love: The Girl of Mystery,1914,8,"Ford, Francis",USA
The Million Dollar Mystery,1914,8,"Hansel, Howell",USA
Neptune's Daughter,1914,8,"Brenon, Herbert",USA
Sperduti nel buio,1914,8,"Martoglio, Nino",Italy
The Spoilers,1914,8,"Campbell, Colin",USA
The Squaw Man,1914,8,"Apfel, Oscar / DeMille, Cecil B.",USA
A Study in Scarlet,1914,8,"Pearson, George",UK
The Trail of the Lonesome Pine,1914,8,"Dear, Frank L.",USA
The Typhoon,1914,8,"Barker, Reginald",USA
The Virginian,1914,8,"DeMille, Cecil B.",USA
In the Land of the Head Hunters,1914,9,"Curtis, Edward S.",USA
Mabel's Blunder,1914,9,"Normand, Mabel",USA
Uncle Tom's Cabin,1914,9,"Daly, William Robert",USA
The Avenging Conscience; Thou Shalt Not Kill,1914,10,"Griffith, D.W.",USA
Traffic in Souls,1913,1,"Tucker, George Loane",USA
Fantômas,1913,2,"Feuillade, Louis",France
Twilight of a Woman's Soul,1913,3,"Bauer, Yevgeni",Russia
Ingeborg Holm,1913,4,"Sjöström, Victor",Sweden
The Adventures of Kathlyn,1913,5,"Grandon, Francis J.",USA
David Copperfield,1913,5,"Bentley, Thomas",UK
Der Andere,1913,5,"Mack, Max",Germany
Die Filmprimadonna,1913,5,"Gad, Urban",Germany / Denmark
Die Insel der Seligen,1913,5,"Reinhardt, Max",Germany
The Gangsters,1913,5,"Lehrman, Henry",USA
Hamlet,1913,5,"Plumb, Hay",UK
A Noise from the Deep,1913,5,"Sennett, Mack",USA
The Pickwick Papers,1913,5,"Trimble, Laurence",UK / USA
The Prisoner of Zenda,1913,5,"Porter, Edwin S. / Ford, Hugh",USA
Quo Vadis?,1913,5,"Guazzoni, Enrico",Italy
The Sea Urchin,1913,5,"August, Edwin",USA
The Waiters' Picnic,1913,5,"Sennett, Mack",USA
