Title,Year,Rank,Directors,Countries
Aladdin,1992,10,"Clements, Ron / Musker, John",USA
Raise the Red Lantern,1991,1,"Zhang, Yimou",China / Hong Kong / Taiwan
The Silence of the Lambs,1991,2,"Demme, Jonathan",USA
Thelma & Louise,1991,3,"Scott, Ridley",USA
Beauty and the Beast,1991,4,"Trousdale, Gary / Wise, Kirk",USA
The Double Life of Véronique,1991,5,"Kieslowski, Krzysztof",France / Poland / Norway
Terminator 2: Judgment Day,1991,6,"Cameron, James",France / USA
La Belle Noiseuse,1991,7,"Rivette, Jacques",France / Switzerland
Delicatessen,1991,8,"Caro, Marc / Jeunet, Jean-Pierre",France
Boyz N the Hood,1991,9,"Singleton, John",USA
JFK,1991,10,"Stone, Oliver",USA / France
GoodFellas,1990,1,"Scorsese, Martin",USA
Cyrano de Bergerac,1990,2,"Rappeneau, Jean-Paul",France
Dances with Wolves,1990,3,"Costner, Kevin",USA
Close-up,1990,4,"Kiarostami, Abbas",Iran
The Grifters,1990,5,"Frears, Stephen",USA
Europa Europa,1990,6,"Holland, Agnieszka",Germany / France / Poland
Miller's Crossing,1990,7,"Coen, Joel / Coen, Ethan",USA
Reversal of Fortune,1990,8,"Schroeder, Barbet",USA / Japan / UK
The Nasty Girl,1990,9,"Verhoeven, Michael",West Germany
Metropolitan,1990,10,"Stillman, Whit",USA
Do the Right Thing,1989,1,"Lee, Spike",USA
Dekalog,1989,2,"Kieslowski, Krzysztof",Poland
Crimes and Misdemeanors,1989,3,"Allen, Woody",USA
When Harry Met Sally,1989,4,"Reiner, Rob",USA
Field of Dreams,1989,5,"Robinson, Phil Alden",USA
"sex, lies, and videotape",1989,6,"Soderbergh, Steven",USA
Born on the Fourth of July,1989,7,"Stone, Oliver",USA
My Left Foot,1989,8,"Sheridan, Jim",Ireland / UK
Drugstore Cowboy,1989,9,"Van Sant, Gus",USA
The Killer,1989,10,"Woo, John",Hong Kong
Cinema Paradiso,1988,1,"Tornatore, Giuseppe",Italy / France
Women on the Verge of a Nervous Breakdown,1988,2,"Almodóvar, Pedro",Spain
Who Framed Roger Rabbit,1988,3,"Zemeckis, Robert",USA
Dangerous Liaisons,1988,4,"Frears, Stephen",USA / UK
Die Hard,1988,5,"McTiernan, John",USA
Bull Durham,1988,6,"Shelton, Ron",USA
Landscape in the Mist,1988,7,"Angelopoulos, Theo",France / Greece / Italy
The Thin Blue Line,1988,8,"Morris, Errol",USA
Rain Man,1988,9,"Levinson, Barry",USA
Salaam Bombay!,1988,10,"Nair, Mira",UK / India / France
Wings of Desire,1987,1,"Wenders, Wim",West Germany / France
"Au Revoir, Les Enfants",1987,2,"Malle, Louis",France / West Germany
The Last Emperor,1987,3,"Bertolucci, Bernardo",France / Italy / UK
The Dead,1987,4,"Huston, John",UK
Broadcast News,1987,5,"Brooks, James L.",USA
Hope and Glory,1987,6,"Boorman, John",UK
Yeelen,1987,7,"Cissé, Souleymane",Mali / Burkina Faso / France / West Germany
Moonstruck,1987,8,"Jewison, Norman",USA
Babette's Feast,1987,9,"Axel, Gabriel",Denmark
Pelle the Conqueror,1987,10,"August, Bille",Denmark / Sweden
Blue Velvet,1986,1,"Lynch, David",USA
Hannah and Her Sisters,1986,2,"Allen, Woody",USA
Platoon,1986,3,"Stone, Oliver",USA
Jean de Florette,1986,4,"Berri, Claude",France / Switzerland / Italy
Manon of the Spring,1986,5,"Berri, Claude",Italy / France / Switzerland
Aliens,1986,6,"Cameron, James",USA / UK
The Fly,1986,7,"Cronenberg, David",USA
Stand by Me,1986,8,"Reiner, Rob",USA
'Round Midnight,1986,9,"Tavernier, Bertrand",USA / France
Sherman's March,1986,10,"McElwee, Ross",USA
Ran,1985,1,"Kurosawa, Akira",Japan / France
Shoah,1985,2,"Lanzmann, Claude",France
A Room with a View,1985,3,"Ivory, James",UK
Come and See,1985,4,"Klimov, Elem",Soviet Union
Back to the Future,1985,5,"Zemeckis, Robert",USA
Witness,1985,6,"Weir, Peter",USA
Brazil,1985,7,"Gilliam, Terry",UK
Prizzi's Honor,1985,8,"Huston, John",USA
Out of Africa,1985,9,"Pollack, Sydney",USA
Tampopo,1985,10,"Itami, Juzo",Japan
Amadeus,1984,1,"Forman, Milos",USA
"Paris, Texas",1984,2,"Wenders, Wim",UK / France / West Germany / USA
The Killing Fields,1984,3,"Joffé, Roland",UK
This Is Spinal Tap,1984,4,"Reiner, Rob",USA
The Terminator,1984,5,"Cameron, James",USA
Once Upon a Time in America,1984,6,"Leone, Sergio",Italy / USA
Stranger Than Paradise,1984,7,"Jarmusch, Jim",USA / West Germany
A Sunday in the Country,1984,8,"Tavernier, Bertrand",France
Heimat,1984,9,"Reitz, Edgar",West Germany
A Passage to India,1984,10,"Lean, David",UK / USA
The Right Stuff,1983,1,"Kaufman, Philip",USA
The Dresser,1983,2,"Yates, Peter",UK
The Big Chill,1983,3,"Kasdan, Lawrence",USA
Terms of Endearment,1983,4,"Brooks, James L.",USA
L'Argent,1983,5,"Bresson, Robert",France / Switzerland
Scarface,1983,6,"De Palma, Brian",USA
The Fourth Man,1983,7,"Verhoeven, Paul",Netherlands
Local Hero,1983,8,"Forsyth, Bill",UK
El Norte,1983,9,"Nava, Gregory",USA / UK
Silkwood,1983,10,"Nichols, Mike",USA
E.T. The Extra-Terrestrial,1982,1,"Spielberg, Steven",USA
Fanny & Alexander,1982,2,"Bergman, Ingmar",Sweden / France / West Germany
Blade Runner,1982,3,"Scott, Ridley",USA
Tootsie,1982,4,"Pollack, Sydney",USA
The King of Comedy,1982,5,"Scorsese, Martin",USA
Fitzcarraldo,1982,6,"Herzog, Werner",Peru / West Germany
Diner,1982,7,"Levinson, Barry",USA
Gandhi,1982,8,"Attenborough, Richard",UK / India
The Verdict,1982,9,"Lumet, Sidney",USA
Night of the Shooting Stars,1982,10,"Taviani, Paolo / Taviani, Vittorio",Italy
Raiders of the Lost Ark,1981,1,"Spielberg, Steven",USA
Chariots of Fire,1981,2,"Hudson, Hugh",UK
Reds,1981,3,"Beatty, Warren",USA
Das Boot,1981,4,"Petersen, Wolfgang",West Germany
Pixote,1981,5,"Babenco, Hector",Brazil
Diva,1981,6,"Beineix, Jean-Jacques",France
The Road Warrior,1981,7,"Miller, George",Australia
Gallipoli,1981,8,"Weir, Peter",Australia
Mephisto,1981,9,"Szabó, István",West Germany / Hungary / Austria
Man of Iron,1981,10,"Wajda, Andrzej",Poland
Raging Bull,1980,1,"Scorsese, Martin",USA
Atlantic City,1980,2,"Malle, Louis",USA / Canada / France
Airplane!,1980,3,"Abrahams, Jim / Zucker, David / Zucker, Jerry",USA
The Elephant Man,1980,4,"Lynch, David",UK / USA
The Big Red One,1980,5,"Fuller, Samuel",USA
Star Wars: Episode V - The Empire Strikes Back,1980,6,"Kershner, Irvin",USA
The Shining,1980,7,"Kubrick, Stanley",UK
Ordinary People,1980,8,"Redford, Robert",USA
Kagemusha,1980,9,"Kurosawa, Akira",Japan
Mon Oncle d'Amérique,1980,10,"Resnais, Alain",France
Apocalypse Now,1979,1,"Coppola, Francis Ford",USA
Manhattan,1979,2,"Allen, Woody",USA
Alien,1979,3,"Scott, Ridley",UK
Kramer vs. Kramer,1979,4,"Benton, Robert",USA
The Marriage of Maria Braun,1979,5,"Fassbinder, Rainer Werner",West Germany
Being There,1979,6,"Ashby, Hal",USA / UK / West Germany / Japan
All That Jazz,1979,7,"Fosse, Bob",USA
The Tin Drum,1979,8,"Schlöndorff, Volker",West Germany / France / Poland / Yugoslavia
Breaking Away,1979,9,"Yates, Peter",USA
Monty Python's Life of Brian,1979,10,"Jones, Terry",UK
The Deer Hunter,1978,1,"Cimino, Michael",USA
Days of Heaven,1978,2,"Malick, Terrence",USA
Halloween,1978,3,"Carpenter, John",USA
Killer of Sheep,1978,4,"Burnett, Charles",USA
The Tree of Wooden Clogs,1978,5,"Olmi, Ermanno",Italy / France
Dawn of the Dead,1978,6,"Romero, George A.",Italy / USA
Superman,1978,7,"Donner, Richard",UK
The Last Waltz,1978,8,"Scorsese, Martin",USA
Grease,1978,9,"Kleiser, Randal",USA
National Lampoon's Animal House,1978,10,"Landis, John",USA
Annie Hall,1977,1,"Allen, Woody",USA
Star Wars: Episode IV - A New Hope,1977,2,"Lucas, George",USA
Close Encounters of the Third Kind,1977,3,"Spielberg, Steven",USA
Saturday Night Fever,1977,4,"Badham, John",USA
That Obscure Object of Desire,1977,5,"Buñuel, Luis",France / Spain
The American Friend,1977,6,"Wenders, Wim",West Germany / France
Suspiria,1977,7,"Argento, Dario",Italy / West Germany
Eraserhead,1977,8,"Lynch, David",USA
Julia,1977,9,"Zinnemann, Fred",USA
Soldier of Orange,1977,10,"Verhoeven, Paul",Belgium / Netherlands
Taxi Driver,1976,1,"Scorsese, Martin",USA
All the President's Men,1976,2,"Pakula, Alan J.",USA
Network,1976,3,"Lumet, Sidney",USA
Rocky,1976,4,"Avildsen, John G.",USA
Cría cuervos,1976,5,"Saura, Carlos",Spain
1900,1976,6,"Bertolucci, Bernardo",France / Italy / West Germany
The Shootist,1976,7,"Siegel, Don",USA
The Outlaw Josey Wales,1976,8,"Eastwood, Clint",USA
In the Realm of the Senses,1976,9,"Oshima, Nagisa",Japan / France
Carrie,1976,10,"De Palma, Brian",USA
Nashville,1975,1,"Altman, Robert",USA
One Flew Over the Cuckoo's Nest,1975,2,"Forman, Milos",USA
Jaws,1975,3,"Spielberg, Steven",USA
Barry Lyndon,1975,4,"Kubrick, Stanley",UK
Dog Day Afternoon,1975,5,"Lumet, Sidney",USA
Picnic at Hanging Rock,1975,6,"Weir, Peter",Australia
Monty Python and the Holy Grail,1975,7,"Gilliam, Terry / Jones, Terry",UK
Night Moves,1975,8,"Penn, Arthur",USA
Smile,1975,9,"Ritchie, Michael",USA
The Man Who Would Be King,1975,10,"Huston, John",UK / USA
Chinatown,1974,1,"Polanski, Roman",USA
The Godfather Part II,1974,2,"Coppola, Francis Ford",USA
The Conversation,1974,3,"Coppola, Francis Ford",USA
Celine and Julie Go Boating,1974,4,"Rivette, Jacques",France
The Enigma of Kaspar Hauser,1974,5,"Herzog, Werner",West Germany
Young Frankenstein,1974,6,"Brooks, Mel",USA
Lacombe Lucien,1974,7,"Malle, Louis",France / West Germany / Italy
A Woman Under the Influence,1974,8,"Cassavetes, John",USA
Ali: Fear Eats the Soul,1974,9,"Fassbinder, Rainer Werner",West Germany
Blazing Saddles,1974,10,"Brooks, Mel",USA
The Spirit of the Beehive,1973,1,"Erice, Víctor",Spain
