,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
120,tt0031679,mr. smith goes to washington,1939,1,8.2,98990,1500000,19,10,1939,USA,0
121,tt0031885,the rules of the game,1939,0,8.1,24459,900000,8,4,1950,USA,0
122,tt0031225,destry rides again,1939,1,7.7,9226,700000,29,12,1939,USA,0
123,tt0032904,the philadelphia story,1940,0,8,58914,914000,17,1,1941,USA,0
124,tt0032910,pinocchio,1940,1,7.5,117804,2600000,23,2,1940,USA,0
125,tt0032599,his girl friday,1940,1,8,48870,280000,18,1,1940,USA,0
126,tt0032551,the grapes of wrath,1940,0,8.1,81540,800000,15,3,1940,USA,0
127,tt0032553,the great dictator,1940,0,8.5,183205,2000000,7,3,1941,USA,0
128,tt0033045,the shop around the corner,1940,0,8.1,24646,160000,12,1,1940,USA,0
129,tt0033152,the thief of bagdad,1940,0,7.5,10854,1135654,25,12,1940,USA,0
130,tt0032455,fantasia,1940,1,7.8,82424,2280000,20,6,1941,USA,0
131,tt0032234,the bank dick,1940,0,7.3,6248,90000,29,11,1940,USA,0
132,tt0033717,high sierra,1941,1,7.6,13725,455000,25,1,1941,USA,0
133,tt0034240,sullivan's travels,1941,0,8,21839,689665,6,2,1942,USA,0
134,tt0033467,citizen kane,1941,1,8.3,366775,839727,5,9,1941,USA,0
135,tt0033870,the maltese falcon,1941,0,8,141417,375000,18,10,1941,USA,0
136,tt0033563,dumbo,1941,1,7.3,109426,950000,31,10,1941,USA,0
137,tt0033712,here comes mr. jordan,1941,0,7.6,5399,3600000,21,8,1941,USA,0
138,tt0033804,the lady eve,1941,0,7.9,17422,660000,21,3,1941,USA,0
139,tt0034167,sergeant york,1941,0,7.8,14217,1400000,27,9,1941,USA,0
140,tt0033836,the little foxes,1941,0,8.1,9324,1200000,29,8,1941,USA,0
141,tt0035169,the palm beach story,1942,0,7.7,9810,950000,1,1,1943,USA,0
142,tt0034492,bambi,1942,1,7.3,119418,1700000,21,8,1942,USA,0
143,tt0034946,kings row,1942,0,7.6,3638,1081698,18,4,1942,USA,0
144,tt0035567,woman of the year,1942,1,7.3,8356,3000000,14,2,1942,USA,0
145,tt0034587,cat people,1942,1,7.4,17561,134000,25,12,1942,USA,0
146,tt0035575,yankee doodle dandy,1942,0,7.7,13023,1532000,6,6,1942,USA,0
147,tt0035446,to be or not to be,1942,1,8.2,23514,1200000,6,3,1942,USA,0
148,tt0035015,the magnificent ambersons,1942,0,7.8,20447,850000,10,7,1942,USA,0
149,tt0035140,"now, voyager",1942,1,8,13613,877000,31,10,1942,USA,0
150,tt0036244,the ox-bow incident,1943,0,8,19224,565000,21,5,1943,USA,0
151,tt0036112,the life and death of colonel blimp,1943,0,8.2,11841,200000,4,5,1945,USA,0
152,tt0036342,shadow of a doubt,1943,1,7.9,54392,140000,15,1,1943,USA,0
153,tt0035160,ossessione,1943,0,7.7,6148,1750000,24,5,1949,Uruguay,0
154,tt0036172,the more the merrier,1943,0,7.8,5354,878000,13,5,1943,USA,0
155,tt0036027,i walked with a zombie,1943,1,7.2,9827,150000,30,4,1943,USA,0
156,tt0036377,the song of bernadette,1943,0,7.6,5539,2000000,21,12,1943,USA,0
157,tt0035896,for whom the bell tolls,1943,0,6.9,7675,3000000,28,4,1944,Sweden,0
158,tt0036515,watch on the rhine,1943,1,7.4,3457,1099000,27,8,1943,USA,0
159,tt0036506,day of wrath,1943,1,8.1,8277,450000,24,4,1948,USA,0
160,tt0037059,meet me in st. louis,1944,1,7.6,18378,1707561,22,11,1944,USA,0
161,tt0036910,henry v,1944,1,7.2,5280,475000,28,10,1945,Finland,0
162,tt0037382,to have and have not,1944,1,7.9,28230,1684000,20,1,1945,USA,0
163,tt0037101,"murder, my sweet",1944,0,7.6,10961,400000,22,2,1945,USA,0
164,tt0036891,hail the conquering hero,1944,1,7.7,3924,775000,9,8,1944,USA,0
165,tt0036775,double indemnity,1944,1,8.3,129825,927262,6,7,1944,USA,0
166,tt0037077,the miracle of morgan's creek,1944,0,7.8,6277,775000,15,12,1943,Scotland,0
167,tt0037008,laura,1944,1,8,38820,1020000,11,10,1944,USA,0
168,tt0036855,gaslight,1944,1,7.8,21352,2068000,30,10,1944,Sweden,0
169,tt0037824,"ivan the terrible, part one",1944,0,7.7,8252,1300000,8,3,1947,USA,0
170,tt0037674,children of paradise,1945,1,8.3,16880,3900000,15,11,1946,USA,0
171,tt0037913,mildred pierce,1945,1,8,20501,1453000,20,10,1945,USA,0
172,tt0037558,brief encounter,1945,1,8.1,32177,170000,24,8,1946,USA,0
173,tt0037800,i know where i'm going!,1945,0,7.6,7180,200000,9,8,1947,USA,0
174,tt0037635,dead of night,1945,1,7.7,9652,250000,15,2,1946,Finland,0
175,tt0038109,spellbound,1945,1,7.6,39612,1696377,28,12,1945,USA,0
