,TITLE,YEAR,RANK
450,murmur of the heart,1971,5
451,dirty harry,1971,6
452,walkabout,1971,7
453,klute,1971,8
454,death in venice,1971,9
455,the go-between,1971,10
456,the conformist,1970,1
457,m*a*s*h,1970,2
458,five easy pieces,1970,3
459,tristana,1970,4
460,le boucher,1970,5
461,woodstock,1970,7
462,the garden of the finzi-continis,1970,8
463,claire's knee,1970,9
464,little big man,1970,10
465,the wild bunch,1969,1
466,butch cassidy and the sundance kid,1969,3
467,easy rider,1969,4
468,z,1969,5
469,kes,1969,6
470,the sorrow and the pity,1969,7
471,my night at maud's,1969,8
472,"they shoot horses, don't they?",1969,9
473,army of shadows,1969,10
474,2001: a space odyssey,1968,1
475,once upon a time in the west,1968,2
476,night of the living dead,1968,3
477,if...,1968,4
478,faces,1968,5
479,rosemary's baby,1968,6
480,shame,1968,7
481,planet of the apes,1968,8
482,stolen kisses,1968,9
483,bullitt,1968,10
484,bonnie and clyde,1967,1
485,belle de jour,1967,2
486,the graduate,1967,3
487,playtime,1967,4
488,the producers,1967,5
489,le samouraï,1967,7
490,weekend,1967,8
491,cool hand luke,1967,9
492,point blank,1967,10
493,persona,1966,1
494,blow-up,1966,2
495,"the good, the bad, and the ugly",1966,3
496,andrei roublev,1966,4
497,closely watched trains,1966,5
498,who's afraid of virginia woolf?,1966,6
499,au hasard balthazar,1966,7
500,war and peace,1966,9
501,"masculin, féminin",1966,10
502,the battle of algiers,1965,1
503,doctor zhivago,1965,3
504,repulsion,1965,4
505,loves of a blonde,1965,5
506,pierrot le fou,1965,6
507,darling,1965,7
508,chimes at midnight,1965,8
509,shadows of forgotten ancestors,1965,9
510,juliet of the spirits,1965,10
511,dr. strangelove or: how i learned to stop worrying and love the bomb,1964,1
512,a hard day's night,1964,2
513,the gospel according to st. matthew,1964,4
514,goldfinger,1964,5
515,the umbrellas of cherbourg,1964,6
516,woman in the dunes,1964,7
517,mary poppins,1964,8
518,gertrud,1964,9
519,band of outsiders,1964,10
520,8 1/2,1963,1
521,contempt,1963,2
522,the leopard,1963,4
523,the birds,1963,5
524,hud,1963,6
525,shock corridor,1963,7
526,the great escape,1963,8
527,this sporting life,1963,9
528,billy liar,1963,10
529,jules and jim,1962,2
530,the manchurian candidate,1962,3
531,to kill a mockingbird,1962,4
532,knife in the water,1962,5
533,the man who shot liberty valance,1962,6
534,l'eclisse,1962,7
535,vivre sa vie,1962,8
536,the exterminating angel,1962,9
537,what ever happened to baby jane?,1962,10
538,viridiana,1961,2
539,the hustler,1961,3
540,last year at marienbad,1961,4
541,yojimbo,1961,5
542,through a glass darkly,1961,6
543,breakfast at tiffany's,1961,7
544,a taste of honey,1961,8
545,lola,1961,9
546,la notte,1961,10
547,psycho,1960,1
548,breathless,1960,2
549,la dolce vita,1960,3
550,l'avventura,1960,4
551,rocco and his brothers,1960,6
552,spartacus,1960,7
553,saturday night and sunday morning,1960,8
554,peeping tom,1960,9
555,shoot the piano player,1960,10
556,the 400 blows,1959,1
557,some like it hot,1959,2
558,the world of apu,1959,3
559,north by northwest,1959,4
560,anatomy of a murder,1959,6
561,hiroshima mon amour,1959,7
562,rio bravo,1959,8
563,pickpocket,1959,9
564,room at the top,1959,10
565,vertigo,1958,1
566,touch of evil,1958,2
567,ashes and diamonds,1958,3
568,mon oncle,1958,5
569,the defiant ones,1958,6
570,a night to remember,1958,7
571,cat on a hot tin roof,1958,8
572,"ivan the terrible, part two",1958,9
573,horror of dracula,1958,10
574,the seventh seal,1957,1
575,sweet smell of success,1957,3
576,paths of glory,1957,4
577,12 angry men,1957,5
578,throne of blood,1957,6
579,wild strawberries,1957,7
580,nights of cabiria,1957,8
581,a face in the crowd,1957,9
582,funny face,1957,10
583,the searchers,1956,1
584,aparajito,1956,2
585,invasion of the body snatchers,1956,3
586,written on the wind,1956,4
587,giant,1956,5
588,a man escaped,1956,6
589,bob le flambeur,1956,7
590,the burmese harp,1956,8
591,the ten commandments,1956,9
592,the killing,1956,10
593,pather panchali,1955,1
594,the night of the hunter,1955,2
595,rebel without a cause,1955,3
596,smiles of a summer night,1955,4
597,diabolique,1955,5
598,bad day at black rock,1955,7
599,rififi,1955,8
600,kiss me deadly,1955,9
601,east of eden,1955,10
602,seven samurai,1954,1
603,rear window,1954,3
604,sansho the bailiff,1954,4
605,la strada,1954,5
606,johnny guitar,1954,6
607,a star is born,1954,7
608,seven brides for seven brothers,1954,8
609,senso,1954,9
610,carmen jones,1954,10
611,tokyo story,1953,1
612,ugetsu,1953,2
613,monsieur hulot's holiday,1953,3
614,the wages of fear,1953,4
615,shane,1953,5
616,the earrings of madame de...,1953,7
617,the band wagon,1953,8
618,roman holiday,1953,9
619,the big heat,1953,10
620,singin' in the rain,1952,1
621,ikiru,1952,2
622,high noon,1952,3
623,forbidden games,1952,4
624,the quiet man,1952,5
625,umberto d.,1952,6
626,the bad and the beautiful,1952,7
627,the golden coach,1952,8
628,europa '51,1952,9
629,limelight,1952,10
630,a streetcar named desire,1951,1
631,diary of a country priest,1951,2
632,the african queen,1951,4
633,strangers on a train,1951,5
634,the lavender hill mob,1951,6
635,a place in the sun,1951,7
636,ace in the hole,1951,8
637,the day the earth stood still,1951,9
638,the river,1951,10
639,rashômon,1950,1
640,sunset boulevard,1950,3
641,los olvidados,1950,4
642,orpheus,1950,5
643,the asphalt jungle,1950,6
644,in a lonely place,1950,7
645,born yesterday,1950,8
646,gun crazy,1950,9
647,winchester '73,1950,10
648,the third man,1949,1
649,kind hearts and coronets,1949,2
650,white heat,1949,3
651,on the town,1949,5
652,the heiress,1949,6
653,adam's rib,1949,7
654,twelve o'clock high,1949,8
655,whisky galore!,1949,9
656,late spring,1949,10
657,bicycle thieves,1948,1
658,the treasure of the sierra madre,1948,2
659,red river,1948,3
660,the red shoes,1948,4
661,letter from an unknown woman,1948,5
662,force of evil,1948,6
663,oliver twist,1948,7
664,the snake pit,1948,9
665,the fallen idol,1948,10
666,out of the past,1947,1
667,odd man out,1947,2
668,black narcissus,1947,3
669,crossfire,1947,4
670,monsieur verdoux,1947,5
671,the lady from shanghai,1947,6
672,miracle on 34th street,1947,7
673,body and soul,1947,9
674,boomerang!,1947,10
675,it's a wonderful life,1946,1
676,beauty and the beast,1946,3
677,notorious,1946,4
678,my darling clementine,1946,5
679,great expectations,1946,6
680,the big sleep,1946,7
681,a matter of life and death,1946,8
682,the killers,1946,9
683,paisan,1946,10
684,children of paradise,1945,1
685,rome open city,1945,2
686,brief encounter,1945,4
687,mildred pierce,1945,5
688,"ivan the terrible, part one",1945,6
689,detour,1945,7
690,i know where i'm going!,1945,8
691,dead of night,1945,9
692,spellbound,1945,10
693,double indemnity,1944,1
694,meet me in st. louis,1944,2
695,laura,1944,3
696,henry v,1944,4
697,the miracle of morgan's creek,1944,5
698,to have and have not,1944,6
699,hail the conquering hero,1944,8
700,gaslight,1944,9
701,"murder, my sweet",1944,10
702,the life and death of colonel blimp,1943,1
703,shadow of a doubt,1943,2
704,the ox-bow incident,1943,3
705,ossessione,1943,4
706,day of wrath,1943,5
707,i walked with a zombie,1943,6
708,the more the merrier,1943,7
709,for whom the bell tolls,1943,8
710,watch on the rhine,1943,9
711,the song of bernadette,1943,10
712,the magnificent ambersons,1942,2
713,to be or not to be,1942,3
714,bambi,1942,4
