,year,ceremony,award,is_winner,winner,movieName,filmInfo
117,1931,4,Actor,,,Richard Dix,Cimarron
118,1931,4,Actor,,,Fredric March,The Royal Family of Broadway
119,1931,4,Actor,,,Adolphe Menjou,The Front Page
120,1931,4,Actress,,,Marlene Dietrich,Morocco
121,1931,4,Actress,1.0,1.0,Marie Dressler,Min and Bill
122,1931,4,Actress,,,Irene Dunne,Cimarron
123,1931,4,Actress,,,Ann Harding,Holiday
124,1931,4,Actress,,,Norma Shearer,A Free Soul
125,1931,4,Art Direction,1.0,1.0,Cimarron ,Max Rée
126,1931,4,Art Direction,,,Just Imagine ,"Stephen Goosson, Ralph Hammeras"
127,1931,4,Art Direction,,,Morocco ,Hans Dreier
128,1931,4,Art Direction,,,Svengali ,Anton Grot
129,1931,4,Art Direction,,,Whoopee! ,Richard Day
130,1931,4,Cinematography,,,Cimarron ,Edward Cronjager
131,1931,4,Cinematography,,,Morocco ,Lee Garmes
132,1931,4,Cinematography,,,The Right to Love ,Charles Lang
133,1931,4,Cinematography,,,Svengali ,Barney Chick McGill
134,1931,4,Cinematography,1.0,1.0,Tabu ,Floyd Crosby
135,1931,4,Directing,,,Cimarron ,Wesley Ruggles
136,1931,4,Directing,,,A Free Soul ,Clarence Brown
137,1931,4,Directing,,,The Front Page ,Lewis Milestone
138,1931,4,Directing,,,Morocco ,Josef Von Sternberg
139,1931,4,Directing,1.0,1.0,Skippy ,Norman Taurog
140,1931,4,Outstanding Production,1.0,1.0,Cimarron ,RKO Radio
141,1931,4,Outstanding Production,,,East Lynne ,Fox
142,1931,4,Outstanding Production,,,The Front Page ,The Caddo Company
143,1931,4,Outstanding Production,,,Skippy ,Paramount Publix
144,1931,4,Outstanding Production,,,Trader Horn ,Metro-Goldwyn-Mayer
145,1931,4,Sound Recording,,,Samuel Goldwyn - United Artists Studio Sound Department,
146,1931,4,Sound Recording,,,Metro-Goldwyn-Mayer Studio Sound Department,
147,1931,4,Sound Recording,1.0,1.0,Paramount Publix Studio Sound Department,
148,1931,4,Sound Recording,,,RKO Radio Studio Sound Department,
149,1931,4,Writing (Adaptation),1.0,1.0,Cimarron ,Howard Estabrook
150,1931,4,Writing (Adaptation),,,The Criminal Code ,"Seton I. Miller, Fred Niblo, Jr."
151,1931,4,Writing (Adaptation),,,Holiday ,Horace Jackson
152,1931,4,Writing (Adaptation),,,Little Caesar ,"Francis Faragoh, Robert N. Lee"
153,1931,4,Writing (Adaptation),,,Skippy ,"Joseph L. Mankiewicz, Sam Mintz"
154,1931,4,Writing (Original Story),1.0,1.0,The Dawn Patrol ,John Monk Saunders
155,1931,4,Writing (Original Story),,,The Doorway to Hell ,Rowland Brown
156,1931,4,Writing (Original Story),,,Laughter ,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart"
