,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,WINNER,COUNTRY
110,tt0030287,jezebel,1938,1,7.6,10772,1250000,26,3.0,1938,0,35
111,tt0029850,alexander nevsky,1938,0,7.6,9701,1850000.0,22,3.0,1939,0,35
112,tt0029843,the adventures of robin hood,1938,0,8.0,44220,1900000,14,5.0,1938,0,35
113,tt0030523,olympia part two: festival of beauty,1938,0,7.9,3322,890000.0,29,3.0,1940,0,35
114,tt0031225,destry rides again,1939,1,7.7,9226,700000.0,29,12.0,1939,0,35
115,tt0031885,the rules of the game,1939,0,8.1,24459,900000.0,8,4.0,1950,0,35
116,tt0031679,mr. smith goes to washington,1939,1,8.2,98990,1500000,19,10.0,1939,0,35
117,tt0031971,stagecoach,1939,1,7.9,38550,392000,3,3.0,1939,0,35
118,tt0032143,the women,1939,1,7.9,11645,1688000,1,9.0,1939,0,35
119,tt0032145,wuthering heights,1939,1,7.7,15021,1000000.0,7,4.0,1939,0,35
120,tt0031514,le jour se lève,1939,0,7.8,5974,846546.0,29,7.0,1940,0,35
121,tt0031725,ninotchka,1939,1,8.0,17360,1365000,23,11.0,1939,0,35
122,tt0032138,the wizard of oz,1939,0,8.0,354596,2800000,25,8.0,1939,0,35
123,tt0032455,fantasia,1940,1,7.8,82424,2280000,20,6.0,1941,0,35
124,tt0033152,the thief of bagdad,1940,0,7.5,10854,1135654.0,25,12.0,1940,0,35
125,tt0033045,the shop around the corner,1940,0,8.1,24646,160000.0,12,1.0,1940,0,35
126,tt0032553,the great dictator,1940,0,8.5,183205,2000000,7,3.0,1941,0,35
127,tt0032234,the bank dick,1940,0,7.3,6248,90000.0,29,11.0,1940,0,35
128,tt0032599,his girl friday,1940,1,8.0,48870,280000.0,18,1.0,1940,0,35
129,tt0032910,pinocchio,1940,1,7.5,117804,2600000,23,2.0,1940,0,35
130,tt0032904,the philadelphia story,1940,0,8.0,58914,914000.0,17,1.0,1941,0,35
131,tt0032551,the grapes of wrath,1940,0,8.1,81540,800000,15,3.0,1940,0,35
132,tt0034167,sergeant york,1941,0,7.8,14217,1400000,27,9.0,1941,0,35
133,tt0033804,the lady eve,1941,0,7.9,17422,660000.0,21,3.0,1941,0,35
134,tt0033712,here comes mr. jordan,1941,0,7.6,5399,3600000.0,21,8.0,1941,0,35
135,tt0033563,dumbo,1941,1,7.3,109426,950000,31,10.0,1941,0,35
136,tt0033836,the little foxes,1941,0,8.1,9324,1200000.0,29,8.0,1941,0,35
137,tt0033467,citizen kane,1941,1,8.3,366775,839727,5,9.0,1941,0,35
138,tt0034240,sullivan's travels,1941,0,8.0,21839,689665,6,2.0,1942,0,35
139,tt0033717,high sierra,1941,1,7.6,13725,455000,25,1.0,1941,0,35
140,tt0033870,the maltese falcon,1941,0,8.0,141417,375000,18,10.0,1941,0,35
141,tt0035140,"now, voyager",1942,1,8.0,13613,877000.0,31,10.0,1942,0,35
142,tt0035015,the magnificent ambersons,1942,0,7.8,20447,850000,10,7.0,1942,0,35
143,tt0035446,to be or not to be,1942,1,8.2,23514,1200000.0,6,3.0,1942,0,35
144,tt0035575,yankee doodle dandy,1942,0,7.7,13023,1532000.0,6,6.0,1942,0,35
145,tt0034587,cat people,1942,1,7.4,17561,134000,25,12.0,1942,0,35
146,tt0034946,kings row,1942,0,7.6,3638,1081698.0,18,4.0,1942,0,35
147,tt0034492,bambi,1942,1,7.3,119418,1700000.0,21,8.0,1942,0,35
148,tt0035169,the palm beach story,1942,0,7.7,9810,950000.0,1,1.0,1943,0,35
149,tt0035567,woman of the year,1942,1,7.3,8356,3000000.0,14.0,2.0,1942.0,0,35
150,tt0036377,the song of bernadette,1943,0,7.6,5539,2000000,21.0,12.0,1943.0,0,35
151,tt0036515,watch on the rhine,1943,1,7.4,3457,1099000.0,27,8.0,1943,0,35
152,tt0035896,for whom the bell tolls,1943,0,6.9,7675,3000000,28,4.0,1944,0,4
153,tt0036027,i walked with a zombie,1943,1,7.2,9827,150000.0,30,4.0,1943,0,35
154,tt0036506,day of wrath,1943,1,8.1,8277,450000.0,24,4.0,1948,0,35
155,tt0035160,ossessione,1943,0,7.7,6148,1750000.0,24,5.0,1949,0,9
156,tt0036244,the ox-bow incident,1943,0,8.0,19224,565000,21,5.0,1943,0,35
157,tt0036172,the more the merrier,1943,0,7.8,5354,878000.0,13,5.0,1943,0,35
158,tt0036342,shadow of a doubt,1943,1,7.9,54392,140000.0,15,1.0,1943,0,35
159,tt0036112,the life and death of colonel blimp,1943,0,8.2,11841,200000,4,5.0,1945,0,35
160,tt0037008,laura,1944,1,8.0,38820,1020000,11.0,10.0,1944.0,0,35
161,tt0037077,the miracle of morgan's creek,1944,0,7.8,6277,775000.0,15.0,12.0,1943.0,0,10
162,tt0036775,double indemnity,1944,1,8.3,129825,927262,6,7.0,1944,0,35
163,tt0036891,hail the conquering hero,1944,1,7.7,3924,775000.0,9.0,8.0,1944.0,0,35
164,tt0037824,"ivan the terrible, part one",1944,0,7.7,8252,1300000.0,8,3.0,1947,0,35
165,tt0037382,to have and have not,1944,1,7.9,28230,1684000.0,20,1.0,1945,0,35
166,tt0037101,"murder, my sweet",1944,0,7.6,10961,400000,22,2.0,1945,0,35
167,tt0036855,gaslight,1944,1,7.8,21352,2068000.0,30,10.0,1944,0,4
168,tt0036910,henry v,1944,1,7.2,5280,475000,28,10.0,1945,0,11
169,tt0037059,meet me in st. louis,1944,1,7.6,18378,1707561,22,11.0,1944.0,0,35
170,tt0037674,children of paradise,1945,1,8.3,16880,3900000.0,15,11.0,1946,0,35
171,tt0037913,mildred pierce,1945,1,8.0,20501,1453000,20,10.0,1945,0,35
172,tt0037558,brief encounter,1945,1,8.1,32177,170000,24,8.0,1946,0,35
173,tt0037635,dead of night,1945,1,7.7,9652,250000.0,15,2.0,1946,0,11
174,tt0038109,spellbound,1945,1,7.6,39612,1696377,28,12.0,1945,0,35
175,tt0038890,rome open city,1945,0,8.1,20657,600000.0,8,10.0,1945,0,12
